Name,Timestamp,Similarity
cyrill,1745841915.1290216,0.8758158683776855
cyrill,1745841930.218914,0.8782712817192078
cyrill,1745841945.607125,0.905957818031311
cyrill,1745842082.9956813,0.9112000465393066
cyrill,1745842494.3212712,0.8926345109939575
cyrill,1745842980.2804348,0.7374496459960938
cyrill,1745842995.4346235,0.8643819093704224
cyrill,1745843010.6463234,0.9063540101051331
cyrill,1745843029.584378,0.8972758054733276
cyrill,1745843044.6653814,0.9104452133178711
cyrill,1745843070.9177792,0.8910045027732849
cyrill,1745843197.3629835,0.8596356511116028
cyrill,1745843554.2460685,0.9184987545013428
cyrill,1745843664.2338352,0.8990404605865479
cyrill,1745843732.9185398,0.9341981410980225
cyrill,1745843920.8109505,0.6146430373191833
cyrill,1745844035.131556,0.6904422044754028
cyrill,1745844225.8530264,0.8791836500167847
cyrill,1745844627.3905838,0.8868222832679749
cyrill,1745844642.4000332,0.8399448990821838
cyrill,1745844657.4768162,0.9234824180603027
cyrill,1745844672.563689,0.6965150833129883
cyrill,1745844687.673009,0.8988527059555054
